,0
0,die Ärzte
1,in flames
2,linkin park
3,böhse onkelz
4,system of a down
5,rammstein
6,metallica
7,die toten hosen
8,red hot chili peppers
9,rise against
10,beatsteaks
11,coldplay
12,the beatles
13,subway to sally
14,nightwish
15,radiohead
16,muse
17,k.i.z.
18,nine inch nails
19,placebo
20,jack johnson
21,bushido
22,schandmaul
23,mando diao
24,billy talent
25,the kooks
26,in extremo
27,bloc party
28,foo fighters
29,arctic monkeys
30,johnny cash
31,koЯn
32,tocotronic
33,depeche mode
34,disturbed
35,blink-182
36,the killers
37,clueso
38,samsas traum
39,farin urlaub
40,amon amarth
41,incubus
42,slipknot
43,iron maiden
44,die apokalyptischen reiter
45,eisregen
46,the offspring
47,queens of the stone age
48,evanescence
49,asp
50,tool
51,blind guardian
52,pink floyd
53,kettcar
54,children of bodom
55,heaven shall burn
56,nirvana
57,as i lay dying
58,ac/dc
59,green day
60,ensiferum
61,fall out boy
62,deichkind
63,the white stripes
64,death cab for cutie
65,tomte
66,bullet for my valentine
67,sum 41
68,dropkick murphys
69,kings of leon
70,sonata arctica
71,marilyn manson
72,blumentopf
73,3 doors down
74,air
75,slayer
76,prinz pi
77,maxïmo park
78,my chemical romance
79,seeed
80,papa roach
81,the prodigy
82,kool savas
83,the cure
84,jimmy eat world
85,oasis
86,amy winehouse
87,opeth
88,daft punk
89,bob dylan
90,queen
91,bad religion
92,killswitch engage
93,kanye west
94,sido
95,millencolin
96,porcupine tree
97,apocalyptica
98,caliban
99,franz ferdinand
100,madonna
101,equilibrium
102,sigur rós
103,nofx
104,kollegah
105,limp bizkit
106,madsen
107,hatebreed
108,u2
109,arch enemy
110,the hives
111,peter fox
112,moby
113,the rolling stones
114,sportfreunde stiller
115,j.b.o.
116,die fantastischen vier
117,finntroll
118,dark tranquillity
119,atreyu
120,interpol
121,korpiklaani
122,fettes brot
123,tenacious d
124,him
125,eminem
126,the doors
127,motörhead
128,the smashing pumpkins
129,breaking benjamin
130,portishead
131,dream theater
132,bob marley
133,avril lavigne
134,rage against the machine
135,dredg
136,afi
137,bright eyes
138,30 seconds to mars
139,björk
140,soilwork
141,feist
142,the strokes
143,massive attack
144,tom waits
145,silverstein
146,a perfect circle
147,snow patrol
148,volbeat
149,led zeppelin
150,letzte instanz
151,parkway drive
152,samy deluxe
153,flogging molly
154,deftones
155,rihanna
156,manu chao
157,bruce springsteen
158,bring me the horizon
159,manowar
160,dimmu borgir
161,cannibal corpse
162,lostprophets
163,paramore
164,alexisonfire
165,tegan and sara
166,dir en grey
167,cradle of filth
168,the shins
169,the smiths
170,36 crazyfists
171,gentleman
172,ill niño
173,hammerfall
174,gorillaz
175,nelly furtado
176,beastie boys
177,[unknown]
178,neaera
179,babyshambles
180,broilers
181,r.e.m.
182,katatonia
183,pearl jam
184,iced earth
185,hans zimmer
186,anti-flag
187,nickelback
188,ramones
189,blutengel
190,funny van dannen
191,good charlotte
192,kaiser chiefs
193,saltatio mortis
194,unheilig
195,trivium
196,oomph!
197,david bowie
198,machine head
199,elliott smith
200,ska-p
201,britney spears
202,the libertines
203,tori amos
204,enter shikari
205,michael jackson
206,the used
207,the subways
208,a day to remember
209,three days grace
210,mad caddies
